id,labName,phone
10423,塔河县人民医院,15094601115
10425,华安县医院,13850437781
10433,河间市疾病预防控制中心,13103277680
10434,佛坪县人民医院,18992605138
10436,株洲市中心医院,17873301805
10438,涞水县医院,15176326519
10440,安阳市人民医院,15937215120
10441,深圳市疾病预防控制中心,13692117046
10442,千阳县疾病预防控制中心,18729726026
10444,承德市中医院,13932481341
10446,阿勒泰地区布尔津县疾病预防控制中心,18799037779
10448,息县人民医院,13703767035
10450,河北省优抚医院,15003119733
10454,大化瑶族自治县妇幼保健院,13647780739
10457,府谷县疾病预防控制中心,15829330812
10460,诸暨市妇幼保健院,13735211926
10461,石家庄市藁城人民医院,15230801895
10462,准格尔旗大路医院,19147178686
10464,阳原县中医院,13283324026
10467,百色市疾病预防控制中心,18778675601
10468,青河县疾病预防控制中心,18199061110
10469,衡山县人民医院,13875681858
10470,桓仁满族自治县人民医院,13190492581
10471,第三师图木舒克市总医院（图市院区）,18299660903
10473,福建省疾病预防控制中心,13960789527
10475,乐业县人民医院,13517566871
10477,牡丹江市第一人民医院,18645762577
10478,钦州市第一人民医院,18377753201
10480,汕头市第二人民医院,15918919367
10483,中牟县第二人民医院,13838292591
10484,诏安县疾病预防控制中心,15260009790
10485,大新县人民医院,13768810273
10489,德保县疾病预防控制中心,13737099264
10491,上海交通大学医学院附属新华医院崇明分院,18901869178
10496,滑县中心医院,15637296222
10501,镇巴县疾病预防控制中心,13630206592
10502,宁波市第一医院,15824275087
10503,陕西省宝鸡市陇县疾病预防控制中心,18740378658
10505,南宁市中医医院,19966773083
10506,儋州市人民医院,18976101538
10508,太康县人民医院,15936066518
10509,眉县人民医院,18220752378
10510,嘉禾县中医医院,13135055484
10513,凌云县人民医院,18278639002
10517,宁波第906医院,18668598993
10519,加格达奇区人民医院,18804570924
10522,辉县市疾病预防控制中心,13938723105
10524,洋浦经济开发区医院,13796898117
10525,甘肃省肿瘤医院,13893302396
10528,宁波明州医院,13736094955
10531,云浮市中医院,13824686087
10533,许昌市人民医院,13303995337
10534,齐齐哈尔和平医院,15174648288
10536,陕西慧聚予果医学检验实验室,18292909702
10539,大兴安岭地区疾病预防控制中心,13845753188
10540,舟山市定海区中心医院,13905802730
10542,上海市浦东新区周浦医院,13917658300
10547,邵阳学院附属第一医院,15173929338
10548,景县人民医院,13833832092
10551,深圳市儿童医院,18819743329
10553,鄂伦春自治旗疾病预防控制中心,15204972863
10554,龙胜各族自治县疾病预防控制中心,18376379399
10562,眉山市中医医院,18081785307
10568,张家口市妇幼保健院,15631331020
10577,复旦大学附属肿瘤医院,18121299216
10585,徐州市泉山区疾病预防控制中心,15952296896
10586,镇巴县人民医院,15719162616
10588,马关县疾病预防控制中心,15331407916
10591,辽宁省金秋医院,17740079119
10592,河南圣德医院,13937603238
10594,南皮县疾病预防控制中心,13722739365
10595,大埔县疾病预防控制中心,18718120630
10597,珠海市第五人民医院,18926911097
10598,城固县第二人民医院,15091311839
10599,河北中西医结合儿童医院,17367729069
10604,安新县医院,13722237766
10605,连江县疾病预防控制中心,13950257682
10606,海南省疾病预防控制中心,18889927363
10608,田东县人民医院,13557762910
10609,乐昌市人民医院,13927836660
10610,甘肃众享医学检验实验室,18119422406
10612,大连医科大学附属第一医院,18098870702
10614,怀集县妇幼保健院,18027818085
10615,南阳市第六人民医院,13938950615
10617,南宁市第一人民医院,18077107275
10618,余杭区第二人民医院,18968119832
10619,广西壮族自治区桂东人民医院,13877415819
10620,唐山市丰润区疾病预防控制中心,13633258268
10622,天津市肿瘤医院,15522030365
10626,衡水市第二人民医院,13833893622
10627,饶阳县人民医院,15383383306
10629,商丘市梁园区疾病预防控制中心,13592323232
10630,天津市河北区疾病预防控制中心,18002130958
10631,赤峰市疾病预防控制中心,15248601697
10633,怀集县疾病预防控制中心,18219079363
10634,百色市右江区人民医院,15878636286
10636,承德县中医院,18732496824
10637,平阳县人民医院,15858031066
10640,南宁市第二人民医院,18260854198
10643,兴业县人民医院,18777508108
10645,南丹县人民医院,18107789039
10647,广州医科大学附属第一医院,18520095213
10648,福建中医药大学附属康复医院,13635280153
10652,钦州市疾病预防控制中心,18907878400
10654,怀来县医院,15831344571
10657,上林县人民医院,13517516826
10659,长治市疾病预防控制中心,19834721008
10660,天津市黄河医院,18502655767
10666,天津市泰达医院,19922431519
10667,防城港市第一人民医院,13558201938
10668,宝丰县人民医院,15836965157
10670,天津市儿童医院（马场院区）,13821704908
10672,邹城市疾病预防控制中心,15265716559
10673,根河市疾病预防控制中心,13848506689
10674,天峨县人民医院,13877825608
10675,临海市妇幼保健院,15958622628
10677,天水市中医医院,18919214319
10679,内蒙古医科大学第二附属医院,18648116299
10685,南阳康圣医学检验所,15936177184
10686,丰宁县医院,15832404311
10687,河北省胸科医院,15633035880
10690,遵化市疾病预防控制中心,13373058660
10692,鹤岗市传染病院,18246664466
10694,白城市医院,15843249700
10696,北海市妇幼保健院,13517795168
10700,大化县疾病预防控制中心,13407754996
10704,杭州市拱墅区疾病预防控制中心,19906720128
10708,融安县人民医院,13481765938
10709,光泽县医院,18965367090
10710,镇坪县医院,13772220779
10712,海盐县疾病预防控制中心,15067368659
10714,尤溪县总医院,15605038828
10716,南宁市邕宁区人民医院,13878181819
10717,扎鲁特旗人民医院,15247568993
10722,益阳市人民医院,13786790707
10724,丰都县人民医院,15123636527
10726,诸暨市第三人民医院,13587308579
10731,温州迪安医学检验所,15257755983
10733,海勃湾区中医医院,13847346657
10734,如东县人民医院,13656290399
10737,陇西县第一人民医院,15293230228
10738,江门市新会区人民医院,13427409443
10742,田东县中医医院,13737662754
10743,山西省疾病预防控制中心,13834668095
10744,玉林市中西医结合骨科医院,15878512502
10745,景县疾病预防控制中心,18731828887
10750,北流市人民医院,13517656612
10753,泉州台商投资区疾病预防控制中心,13850732340
10755,霍林郭勒市人民医院,18504755698
10756,嘉兴市第一医院,15712620515
10759,经济技术开发区(头屯河区)第一人民医院,17690960133
10761,新乡县疾病预防控制中心,18567557791
10762,深圳市罗湖医院集团医学检验实验室,17868813597
10764,临清市疾病预防控制中心,13656352904
10765,黑龙江省齐齐哈尔市讷河市中医医院,18545206542
10767,新干县疾病预防控制中心,18079805030
10768,三河市疾病预防控制中心,15075692939
10774,济南市第五人民医院,13853165067
10775,应县医疗集团人民医院,18234935604
10778,闽侯县医院,15506917020
10779,宁波市镇海区疾病预防控制中心,13484277581
10780,如皋市石庄镇卫生院,13962926460
10781,永城市疾病预防控制中心,15236875788
10793,黄河科技学院附属医院,15803886981
10794,绍兴第二医院,15005850700
10796,洛阳东方医院,15937912804
